Si;Fe;CaO;SiO2;MgO;Al2O3;MnO;P2O5;S;basicity;FeOn;FeOn_t;CaO_t;SiO2_t
4220;23,49029;42,80865;9,41766;3,31035;0,73506;2,6267;1,20537;0,0589;4,54557;34,0609205;39,4738831;49,61180206;10,91431484
3770;29,21464;36,57388;8,81724;4,0317;0,72727;2,571;1,07555;0,05202;4,148;42,361228;48,27361201;41,6785201;10,04786789
3730;25,13096;41,94455;8,66911;3,59242;0,7034;2,61517;1,19852;0,05581;4,83839;36,439892;41,85916733;48,18246819;9,958364479
3670;31,26595;34,22976;10,70084;3,58991;0,8259;2,51225;1,04065;0,05613;3,19879;45,3356275;50,22435163;37,9208935;11,85475487
3650;27,92794;36,34249;9,07347;3,72367;0,86431;2,5568;0,92148;0,05965;4,00536;40,495513;47,13632718;42,30225455;10,56141826
3540;25,16862;39,30335;8,28867;3,7707;0,95814;2,68207;1,15025;0,05834;4,74182;36,494499;43,4011295;46,74155913;9,857311372
5680;23,65849;39,23697;9,71964;4,04586;1,03117;2,69737;1,07977;0,04678;4,03687;34,3048105;41,20132745;47,12503073;11,67364182
4520;24,42724;38,30886;9,04407;3,9458;0,94494;2,70567;1,07123;0,05116;4,2358;35,419498;42,79142083;46,28215086;10,9264283
5590;28,26144;36,57133;7,8903;3,73101;0,8777;2,6063;0,98403;0,05517;4,63497;40,979088;47,96201268;42,80316324;9,23482408
6390;21,92985;40,29803;9,48308;3,75161;1,04307;2,78292;1,06989;0,04752;4,24946;31,7982825;38,97832716;49,39731563;11,62435722
6050;20,17483;43,54736;10,43059;3,81273;1,13347;2,73499;1,08185;0,04302;4,17496;29,2535035;35,14717366;52,32079721;12,53202913
4620;19,52644;43,32576;10,19547;4,15175;0,97809;2,691;1,23233;0,04558;4,24951;28,313338;34,5982617;52,94310346;12,45863484
5990;16,4014;44,22664;10,73147;3,66032;0,96878;2,63621;1,15402;0,04816;4,12121;23,78203;30,20318481;56,16784527;13,62896993
5900;18,08265;43,11954;10,29698;3,6081;1,19628;2,72175;1,09515;0,0473;4,18759;26,2198425;32,92446023;54,14554187;12,9299979
5990;17,91277;43,48191;10,48153;3,75295;1,10011;2,7736;1,11635;0,04623;4,14843;25,9735165;32,49250114;54,39525334;13,11224552
5310;17,69587;46,80626;10,24466;3,41314;1,09574;2,68526;1,12661;0,04953;4,56884;25,6590115;31,02289052;56,59085814;12,38625134
5110;25,93406;43,75536;11,01833;5,04644;0,50743;2,27859;1,51563;0,05515;3,97114;37,604387;40,70704676;47,36552375;11,92742949
5630;25,13902;42,56233;11,07381;5,35077;0,58032;2,29689;1,49444;0,05164;3,84351;36,451579;40,46231762;47,24542976;12,29225262
2330;25,93222;43,99647;11,17405;5,19871;0,56616;2,28333;1,55763;0,05329;3,93738;37,601719;40,53121861;47,42417611;12,04460528
4720;25,43573;42,45672;10,78856;5,06205;0,74569;2,29577;1,46475;0,05473;3,93535;36,8818085;40,92200149;47,10761293;11,97038557
2880;25,25576;43,36336;11,85321;5,85808;0,49129;2,32871;1,5176;0,05315;3,65836;36,620852;39,87574041;47,21752751;12,90673207
7860;27,86116;43,31026;11,24073;5,24373;0,30786;2,10231;1,32844;0,04437;3,85298;40,398682;42,54746873;45,61391218;11,83861909
3270;25,2986;44,0586;11,61616;5,57918;0,48213;2,26346;1,48526;0,05109;3,79287;36,68297;39,71835384;47,7042907;12,57735546
4500;25,319;43,25784;11,17251;5,42405;0,59309;2,32546;1,52454;0,05394;3,87181;36,71255;40,28020833;47,46155762;12,25823405
5440;26,00877;43,78593;11,12724;5,01379;0,49619;2,27552;1,51544;0,04918;3,93502;37,7127165;40,71509372;47,27180668;12,0130996
7200;25,26724;43,51527;11,85898;5,70614;0,54145;2,32843;1,54739;0,05676;3,66939;36,637498;39,81828277;47,29316739;12,88854984
2420;25,73443;42,32598;10,63682;4,63039;0,47736;2,32469;1,4582;0,05253;3,9792;37,3149235;41,33347857;46,88419065;11,78233078
4780;29,06519;43,34182;11,50823;6,81132;0,40354;1,94201;1,38934;0,04884;3,76616;42,1445255;43,4503943;44,68478755;11,86481815
6100;25,32221;43,23173;11,18668;5,29251;0,75444;2,29986;1,50958;0,05345;3,86457;36,7172045;40,28853561;47,43670215;12,27476224
4630;29,10718;41,78973;10,47634;6,16494;0,27827;1,96773;1,24272;0,05088;3,98896;42,205411;44,67529307;44,2352862;11,08942073
4420;33,74478;37,917;10,66475;5,21867;0,78983;2,08506;1,30712;0,06248;3,55536;48,929931;50,17853297;38,8845722;10,93689483
6110;24,15769;47,52128;12,23023;4,8423;0,32584;2,29515;1,47949;0,05705;3,88556;35,0286505;36,9577877;50,13842533;12,90378697
6300;25,91405;46,00644;12,64814;5,11844;0,28181;2,38969;1,5469;0,05326;3,63741;37,5753725;39,04748108;47,8088566;13,14366231
4940;26,8044;44,55516;11,81474;4,86657;0,39814;2,3356;1,47304;0,05987;3,77115;38,86638;40,81047685;46,7838097;12,40571345
5510;29,12235;42,96413;11,74371;5,7083;0,39768;2,21251;1,4127;0,05617;3,65848;42,2274075;43,56249;44,32250508;12,11500492
5580;26,15428;45,45692;12,28822;5,00757;0,28461;2,24475;1,51053;0,05792;3,69923;37,923706;39,6406015;47,51486184;12,84453666
5970;29,11608;41,45087;10,41003;6,20084;0,27798;1,91722;1,27744;0,06154;3,98182;42,218316;44,87528467;44,05954021;11,06517512
6080;26,17487;44,01321;11,65033;5,38124;0,56762;2,29406;1,49813;0,05099;3,77785;37,9535615;40,54126959;47,01407039;12,44466002
6550;28,07412;43,5146;11,40858;5,48317;0,28061;2,05419;1,31048;0,04967;3,8142;40,707474;42,56739058;45,50277362;11,9298358
7030;29,29407;41,01942;10,80763;4,87581;0,3052;2,18472;1,24176;0,04405;3,79541;42,4764015;45,04225543;43,49726266;11,46048191
6560;26,98844;43,54323;11,25736;5,40135;0,42931;2,11934;1,32697;0,04922;3,86798;39,133238;41,66043143;46,35521721;11,98435137
7800;28,33146;42,161;10,77493;5,96455;0,34996;1,98354;1,33224;0,05595;3,91288;41,080617;43,69509231;44,84423364;11,46067404
4340;29,6323;43,3452;10,78635;6,72257;0,331;1,93477;1,3215;0,05195;4,01852;42,966835;44,25082353;44,64049531;11,10868116
5240;33,20934;37,58594;10,86749;5,85567;0,8602;2,05514;1,23392;0,065;3,45857;48,153543;49,84479019;38,90603218;11,24917763
4090;33,48482;37,90493;10,60171;5,49741;0,77163;2,06367;1,28612;0,05982;3,57536;48,552989;50,02387656;39,05324015;10,92288329
5400;29,10531;43,27959;11,49904;6,73077;0,45629;1,94327;1,39752;0,05343;3,76376;42,2026995;43,51631362;44,62672374;11,85696263
8110;29,4944;43,13438;10,60079;6,57131;0,30588;1,93728;1,34613;0,05699;4,06898;42,76688;44,31706891;44,69788984;10,98504125
5350;33,88604;37,71191;10,49355;4,99852;0,80702;2,08363;1,29319;0,0646;3,59382;49,134758;50,47734535;38,74237265;10,780282
8200;33,89903;37,79816;10,14126;5,17051;0,70913;2,18529;1,29987;0,06514;3,72717;49,1535935;50,62526306;38,92984535;10,44489159
6810;33,58678;38,10367;10,36101;5,59244;0,71633;2,16616;1,30076;0,06267;3,6776;48,700831;50,12151997;39,21522113;10,6632589
5430;29,38235;40,66941;10,54446;4,67248;0,80153;2,58403;1,38902;0,06261;3,85695;42,6044075;45,41162835;43,34913312;11,23923854
1950;31,9277;38,81363;10,68854;4,88112;0,71784;2,34053;1,30344;0,06633;3,63133;46,295165;48,32615124;40,5163985;11,15745026
5690;23,63927;42,10838;10,13645;4,85045;0,61548;3,61113;1,29886;0,05905;4,15415;34,2769415;39,61655073;48,66795868;11,71549059
2330;35,12053;37,43874;10,73544;5,34261;0,8968;2,27908;1,41122;0,06624;3,4874;50,9247685;51,38779903;37,77914959;10,83305137
5640;36,06452;37,67331;6,54839;5,03396;0,4833;2,19092;1,54483;0,07228;5,75307;52,293554;54,18164677;39,03352935;6,784823879
5690;34,79432;38,79688;7,44756;5,95859;0,50159;2,24926;1,49541;0,06527;5,20934;50,451764;52,17553731;40,12244369;7,702018995
6110;32,49174;37,91562;9,68449;4,86602;0,72909;2,28739;1,34053;0,06597;3,91509;47,113023;49,74286195;40,03206187;10,22507618
